Mean of the integrated profile,Standard deviation of the integrated profile,Excess kurtosis of the integrated profile,Skewness of the integrated profile,Mean of the DM-SNR curve,Standard deviation of the DM-SNR curve,Excess kurtosis of the DM-SNR curve,Skewness of the DM-SNR curve,Class
90.1328125,38.85457082,0.586739061,1.675733418,3.775919732,21.38666845,7.189355151,59.68389616,0
80.28125,36.89786103,0.948061938,2.766860712,0.727424749,11.20854087,18.49844633,371.1933415,0
94.6640625,38.65740496,0.590923846,1.655762547,0.97993311,11.8077379,15.12961696,260.1695502,0
91.7734375,42.46969781,1.547537612,3.486250189,150.5443144,92.77363329,-0.530580801,-1.270990164,1
111.8984375,48.46871411,0.03570384,-0.217656177,1.596153846,11.29528945,13.27071838,241.2198768,0
103.9140625,44.64828303,0.458696401,0.887063049,0.617056856,10.38057631,19.09166583,396.5751807,0
126.859375,45.45150822,0.001818485,0.203492558,3.389632107,20.38226718,7.829813671,70.00080537,0
24.484375,41.16544067,4.347698018,18.75114241,109.7892977,82.21609152,0.010425467,-1.259046483,1
22.859375,33.00419821,5.198502699,28.10315333,73.95819398,63.18079323,0.997992772,0.525573228,1
115.0078125,49.01809234,0.04870751,-0.232283613,1.327759197,14.82956457,12.22364552,158.3888374,0
128.171875,51.74292062,0.150712183,-0.60777109,1.242474916,11.66626508,13.19594642,221.9784785,0
135.6328125,54.91226967,-0.018771751,-0.635800869,11.07190635,37.17806983,3.594327449,12.86667887,0
105.5390625,44.26198678,0.687231792,0.695163263,1.240802676,10.90789383,14.03295284,266.6222018,0
132.578125,46.56641919,-0.145056198,0.168758781,1.787625418,14.94454792,11.59153431,153.1106445,0
136.4453125,50.72302371,0.08461618,-0.223626023,3.072742475,20.88911383,7.893147843,68.11404165,0
137.6484375,45.88855213,-0.144282272,0.409022246,2.284280936,13.68235396,9.319216058,120.7069316,0
135.4296875,50.05320351,0.071229411,-0.215082566,4.039297659,26.39735521,7.13637797,52.54085714,0
123.125,50.92657091,0.125678648,-0.399647512,4.884615385,26.3644079,6.246371906,40.98263189,0
121.7421875,53.0545483,-0.091161962,-0.267380022,2.410535117,15.75176975,8.227566552,84.87250944,0
96.6484375,43.64838017,0.513867568,0.74780762,6.816053512,33.69849013,5.231797671,27.26726518,0
130.578125,50.43197915,0.072219438,-0.166228769,9.677257525,35.66735274,3.803195189,14.14737832,0
143.734375,51.50234891,-0.124623835,-0.014180289,6.762541806,30.98514265,5.093959645,27.08614084,0
41.890625,28.68341049,4.707133919,30.38440322,12.98662207,44.03777819,3.739387485,13.61329582,1
71.1953125,29.1687061,2.969223144,15.0879771,11.08361204,43.12914842,3.907151901,14.36515482,1
115.4765625,47.23031416,0.125991278,-0.130416331,88.08862876,88.35155438,0.149566003,-1.766947488,0
108.7265625,31.42717645,0.51845989,3.470998553,3.10451505,17.97392053,7.560389217,67.94839486,0
136.7578125,48.58879534,-0.156798152,0.038722483,77.89632107,82.48725017,0.240533271,-1.73045099,0
129.6484375,59.03820133,-0.076257992,-0.658627785,2.068561873,13.70711244,9.903777373,129.9531646,0
122,56.30691565,0.192742273,-0.676199941,18.10953177,54.37198961,3.107319866,8.375607899,0
35.3515625,31.4644119,4.819742314,27.05880686,18.72826087,47.50089495,3.116141164,9.737623197,1
117.859375,54.76907978,0.293732491,-0.078752642,2.804347826,17.91036343,8.200372892,78.2680679,0
96.921875,46.73288613,0.338692481,0.266694278,2.306856187,16.73465912,8.876670368,90.8365804,0
